DesG;IdxG;IdxPar;IdxSG
non;403110101;9010000000;403110100
11-12Jeudi Bel.;403050210;9010000000;403050200
11-12Mardi Bel.;403050211;9010000000;403050200
08-09 MPJ vendr.;403050203;9010000000;403050200
09-10 Vendredi Lutry;403050206;9010000000;403050200
10-11Jeudi Bel.;403050207;9010000000;403050200
08-09 Corsy vendr.;403050202;9010000000;403050200
10-11Mardi Bel.;403050208;9010000000;403050200
10-11Vendredi Lu.;403050209;9010000000;403050200
11-12Vendredi Lu.;403050212;9010000000;403050200
Pas de groupe !;403050213;9010000000;403050200
08-09 Belm.vendr.;403050201;9010000000;403050200
09-10 Jeudi Belmont;403050204;9010000000;403050200
09-10 Vendredi Belmont;403050205;9010000000;403050200
Extérieur;403110202;9010000000;403110200
Sud;403110204;9010000000;403110200
Nord;403110203;9010000000;403110200
Divers;403110201;9010000000;403110200
100;403110304;9010000000;403110300
32;403110328;9010000000;403110300
10;403110303;9010000000;403110300
0;403110301;9010000000;403110300
22;403110317;9010000000;403110300
19;403110313;9010000000;403110300
7;403110334;9010000000;403110300
5;403110332;9010000000;403110300
17;403110311;9010000000;403110300
21;403110316;9010000000;403110300
27;403110322;9010000000;403110300
8;403110335;9010000000;403110300
30;403110326;9010000000;403110300
12;403110306;9010000000;403110300
18;403110312;9010000000;403110300
28;403110323;9010000000;403110300
15;403110309;9010000000;403110300
29;403110324;9010000000;403110300
3;403110325;9010000000;403110300
2;403110314;9010000000;403110300
14;403110308;9010000000;403110300
26;403110321;9010000000;403110300
16;403110310;9010000000;403110300
11;403110305;9010000000;403110300
13;403110307;9010000000;403110300
4;403110331;9010000000;403110300
31;403110327;9010000000;403110300
6;403110333;9010000000;403110300
20;403110315;9010000000;403110300
23;403110318;9010000000;403110300
24;403110319;9010000000;403110300
1;403110302;9010000000;403110300
34;403110330;9010000000;403110300
9;403110336;9010000000;403110300
25;403110320;9010000000;403110300
33;403110329;9010000000;403110300
Français;403110406;9010000000;403110400
Norvégien;403110409;9010000000;403110400
Anglais;403110402;9010000000;403110400
Allemand;403110401;9010000000;403110400
Suisse allemand;403110413;9010000000;403110400
SPECIAL;403110411;9010000000;403110400
Espagnol;403110404;9010000000;403110400
Suédois;403110412;9010000000;403110400
Hongrois;403110407;9010000000;403110400
FILLE;403110405;9010000000;403110400
Danois;403110403;9010000000;403110400
Roumain;403110410;9010000000;403110400
Né en 1976;403110408;9010000000;403110400
1;403110101;9020000000;403110100
2;403110102;9020000000;403110100
3;403110103;9020000000;403110100
4;403110104;9020000000;403110100
5;403110105;9020000000;403110100
6;403110106;9020000000;403110100
7;403110107;9020000000;403110100
9;403110108;9020000000;403110100
785;403110204;9020000000;403110200
10;403110201;9020000000;403110200
220;403110202;9020000000;403110200
450;403110203;9020000000;403110200
O;403110302;9020000000;403110300
N;403110301;9020000000;403110300
R;403110303;9020000000;403110300
Français;403110401;9020000000;403110400
2;403110502;9020000000;403110500
3;403110503;9020000000;403110500
1;403110501;9020000000;403110500
4;403110504;9020000000;403110500
1;403110601;9020000000;403110600
1;403110701;9020000000;403110700
2;403110703;9020000000;403110700
4;403110705;9020000000;403110700
3;403110704;9020000000;403110700
1 ;403110702;9020000000;403110700
ACCUEIL SECT. 1/2;403110802;9020000000;403110800
ACCUEIL SECT. 3;403110803;9020000000;403110800
ACCUEIL SECT. 4;403110804;9020000000;403110800
Atelier biblique Rosiaz 08-09;403110805;9020000000;403110800
BENEV. ACTIVITE ROSIAZ;403110806;9020000000;403110800
BONNE NOUVELLE;403110807;9020000000;403110800
BOULANGERS;403110808;9020000000;403110800
BUREAU DE L'ASS. PAROISSIALE 09-14;403110809;9020000000;403110800
CATECHETES TOUS SECTEURS;403110810;9020000000;403110800
CLUB AINES - CHORALE;403110811;9020000000;403110800
CLUB AINES - GROUPE HOMMES;403110812;9020000000;403110800
COMITE ASSOC. CHAMBLANDES;403110813;9020000000;403110800
COMITE ASSOCIATION PRIEURE;403110814;9020000000;403110800
COMITE ASSOCIATION ROSIAZ;403110815;9020000000;403110800
COMMISSION DE GESTION;403110816;9020000000;403110800
CONS.REG. 04 DEL.PULLY;403110817;9020000000;403110800
CONSEIL PAROISSIAL 09-14;403110818;9020000000;403110800
CONSEIL REG. 04 TOUS;403110819;9020000000;403110800
CULTE DE L'ENFANCE CHAMBLANDES;403110820;9020000000;403110800
CULTE DE L'ENFANCE COTEAU;403110821;9020000000;403110800
CULTE DE L'ENFANCE MALLIEU;403110822;9020000000;403110800
Culte enfance MONITRICES tous secteurs;403110823;9020000000;403110800
Culte enfance ROSIAZ;403110824;9020000000;403110800
ECOLE DU DIMANCHE ROSIAZ;403110825;9020000000;403110800
ENVOI DIV.TABELLE CULTES FINAL;403110826;9020000000;403110800
ESPACE PRIERE;403110827;9020000000;403110800
EVEIL A LA FOI, SECTEUR 1;403110828;9020000000;403110800
EVEIL A LA FOI, TOUS SECTEURS;403110829;9020000000;403110800
FACT. + ENCARTAGE S. 1/2;403110830;9020000000;403110800
FACT. + ENCARTAGE S. 3;403110831;9020000000;403110800
FACT.+ENCARTAGE S. 4;403110832;9020000000;403110800
FORMATION ADULTES;403110833;9020000000;403110800
GARDERIE CHAMBLANDES;403110834;9020000000;403110800
GROUPE DE LECTURE CHAMBLANDES;403110835;9020000000;403110800
GROUPE DE PRIERES;403110836;9020000000;403110800
GROUPE DES JEUNES DU COTEAU;403110837;9020000000;403110800
Groupe vocal Chamblandes;403110838;9020000000;403110800
INVIT. ASSEMBLEE PAROISSE;403110839;9020000000;403110800
INVITES SOUPER PRIEURE;403110840;9020000000;403110800
KT 1.7.2000 au 30.6.2001;403110841;9020000000;403110800
KT 1.7.85-30.6.86;403110842;9020000000;403110800
KT 1.7.88-30.6.89 ;403110843;9020000000;403110800
KT 1.7.94..30.6.95 ;403110844;9020000000;403110800
KT 1.7.95..30.6.96;403110845;9020000000;403110800
KT 1.7.96..30.6.97;403110846;9020000000;403110800
KT 1.7.97..30.6.98;403110847;9020000000;403110800
KT 1.7.98..30.3.99;403110848;9020000000;403110800
KT 1.7.99..30.6.00;403110849;9020000000;403110800
KT 4ème SECT 1;403110850;9020000000;403110800
KT 4ème SECT 2;403110851;9020000000;403110800
KT 4ème SECT 3;403110852;9020000000;403110800
KT 4ème SECT 4;403110853;9020000000;403110800
LECTEUR PAUDEX;403110854;9020000000;403110800
LECTEUR SECT. 1/2;403110855;9020000000;403110800
LECTEUR SECT. 3;403110856;9020000000;403110800
LECTEUR SECT. 4;403110857;9020000000;403110800
MARIAGES PRIEURE;403110858;9020000000;403110800
MUNICIPALITE PULLY 03;403110859;9020000000;403110800
NAISSANCES envoi courrier dès 13.12.06;403110860;9020000000;403110800
ORGANISTES;403110861;9020000000;403110800
PAROISSIENNES;403110862;9020000000;403110800
PARTAGE BIBL. LUTRY;403110863;9020000000;403110800
PARTAGE BIBLIQUE;403110864;9020000000;403110800
PASTEURS;403110865;9020000000;403110800
POMPES FUNEBRES;403110866;9020000000;403110800
POST-CATECHISME 2 SECTEUR 2;403110867;9020000000;403110800
POST-CATECHISME 2 SECTEUR 3;403110868;9020000000;403110800
POST-CATECHISME 2 SECTEUR 4;403110869;9020000000;403110800
POST-KT SECT 2;403110870;9020000000;403110800
POST-KT SECT 3;403110871;9020000000;403110800
POST-KT SECT 4;403110872;9020000000;403110800
PRESIDENTS ASSOCIATIONS;403110873;9020000000;403110800
REGION: ASS. + CONS 09-14;403110874;9020000000;403110800
SEMAINE DE JEUNE (toutes les années);403110875;9020000000;403110800
UNION DE BIENFAISANCE;403110876;9020000000;403110800
ACCUEIL PAUDEX;403110801;9020000000;403110800
Date début;303040100;9000000000;
Accompagnant(e) KT Accompagnant(e) TU;303040202;9000000000;303040200
Accompagnant(e) KT musicien;303040203;9000000000;303040200
Accompagnant(e) TU;303040204;9000000000;303040200
Cameroun 2002;303040205;9000000000;303040200
Cameroun 2002 ;303040206;9000000000;303040200
Cameroun 2002 Accompagnant(e) KT;303040207;9000000000;303040200
Cameroun 2002 Célébration de Noël Musicien;303040208;9000000000;303040200
Cameroun 2002 Musicien;303040209;9000000000;303040200
Cameroun 2002 Musicienne;303040210;9000000000;303040200
Célébration de Noël ;303040211;9000000000;303040200
Cévennes 2003;303040212;9000000000;303040200
Cévennes 2003 Accompagnant(e) KT;303040213;9000000000;303040200
Cévennes 2003 Musicien;303040214;9000000000;303040200
Cévennes 2003 Musicienne;303040215;9000000000;303040200
Choeur Gospel;303040216;9000000000;303040200
Choeur Gospel Accompagnant(e) KT;303040217;9000000000;303040200
Musicien;303040218;9000000000;303040200
musicien Accompagnant(e) KT;303040219;9000000000;303040200
Musicienne;303040220;9000000000;303040200
Musique Clin Dieu;303040221;9000000000;303040200
Musique lors des cultes;303040222;9000000000;303040200
"Pour moi Jésus était un homme comme tout le monde. Mais un jour, je pense qu'il a senti quelque chose, sans le voir ; il a senti Dieu. Puis il a "" imaginé "" quelqu'un qu'il a appelé "" Dieu "". Je pense que s'il a fait des miracles, c'est parce qu'il croyait tellement en Dieu qu'il y a eu quelque chose de  "" magique "". Je pense que Dieu a été "" inventé "" par Jésus, mais je n'en suis pas sûre ; comme tout le monde.";303040223;9000000000;303040200
2005;303040302;9000000000;303040300
2006;303040303;9000000000;303040300
2007;303040304;9000000000;303040300
2008;303040305;9000000000;303040300
2009;303040306;9000000000;303040300
2010;303040307;9000000000;303040300
2011;303040308;9000000000;303040300
Oui;303040402;9000000000;303040400
---;303040501;9000000000;303040500
Décor;303040503;9000000000;303040500
---;303040601;9000000000;303040600
Décor;303040603;9000000000;303040600
Musique;303040604;9000000000;303040600
Décor;303040702;9000000000;303040700
Texte;303040703;9000000000;303040700
Textes;303040704;9000000000;303040700
Bilan;303040802;9000000000;303040800
Texte;303040803;9000000000;303040800
Bilan;303040804;9000000000;303040800
Texte;303040805;9000000000;303040800
Oui;303040902;9000000000;303040900
Credo;303041000;9000000000;
Baptême;303041101;9000000000;303041100
Confirmation ?;303041103;9000000000;303041100
2003;303041202;9000000000;303041200
2004;303041203;9000000000;303041200
2005;303041204;9000000000;303041200
2006;303041205;9000000000;303041200
2007;303041206;9000000000;303041200
2008;303041207;9000000000;303041200
2009;303041208;9000000000;303041200
2010;303041209;9000000000;303041200
2011;303041210;9000000000;303041200
2012;303041211;9000000000;303041200
2013;303041212;9000000000;303041200
2014;303041213;9000000000;303041200
2015;303041214;9000000000;303041200
2016;303041215;9000000000;303041200
Arrêt;303041216;9000000000;303041200
Rameaux 2001;303041217;9000000000;303041200
Rameaux 2002;303041218;9000000000;303041200
Rameaux 2003;303041219;9000000000;303041200
Belmont Lutry;303041302;9000000000;303041300
Lutry;303041303;9000000000;303041300
Non;303041304;9000000000;303041300
Oui;303041305;9000000000;303041300
14h30;303041402;9000000000;303041400
15h00;303041403;9000000000;303041400
15h30;303041404;9000000000;303041400
16h00;303041405;9000000000;303041400
16h30;303041406;9000000000;303041400
17h00;303041407;9000000000;303041400
17h30;303041408;9000000000;303041400
18h00;303041409;9000000000;303041400
18h30;303041410;9000000000;303041400
19h00;303041411;9000000000;303041400
Non;303041502;9000000000;303041500
Oui;303041503;9000000000;303041500
Oui A;303041504;9000000000;303041500
Lundi;303041601;9000000000;303041600
Accompagnant(e) KT;303040201;9000000000;303040200
2002;303040301;9000000000;303040300
Non;303040401;9000000000;303040400
Bilan;303040502;9000000000;303040500
Bilan;303040602;9000000000;303040600
---;303040701;9000000000;303040700
---;303040801;9000000000;303040800
Non;303040901;9000000000;303040900
Confirmation;303041102;9000000000;303041100
2002;303041201;9000000000;303041200
Belmont;303041301;9000000000;303041300
14h00;303041401;9000000000;303041400
A;303041501;9000000000;303041500
Mercredi;303041701;9000000000;303041600
2;403110602;9020000000;403110600
3;403110603;9020000000;403110600
4;403110604;9020000000;403110600
9;403110605;9020000000;403110600
Lundi;303041802;9000000000;303041800
Lundi;303041902;9000000000;303041900
Mercredi;303041903;9000000000;303041900
Samedi;303041904;9000000000;303041900
Vendredi;303041905;9000000000;303041900
Inscription 5-6;303042102;9000000000;303042100
Inscription 7-8-9;303042103;9000000000;303042100
Inscription KT;303042104;9000000000;303042100
Inscription KT Confirmation camp;303042105;9000000000;303042100
Inscription KT Inscription 5-6;303042106;9000000000;303042100
Inscription KT Inscription 7-8-9;303042107;9000000000;303042100
Inscription KT Inscription TU;303042108;9000000000;303042100
Invitation soirée parents;303042109;9000000000;303042100
Oui;303042101;9000000000;303042100
Anglais;303042001;9000000000;303042000
Assistant de JFR - ACCOMPAGNANT;303042002;9000000000;303042000
DALAMURAZ Alain (père)-Rochettaz 55;303042003;9000000000;303042000
Fin de KT en 2010;303042004;9000000000;303042000
"Fin de KT en 2010
";303042005;9000000000;303042000
Fin de KT en 2011;303042006;9000000000;303042000
Français;303042007;9000000000;303042000
Inscrit par J-Fr.Ramelet le 8.2.2006;303042008;9000000000;303042000
ok;303042009;9000000000;303042000
S P E C I A L     VOIR    REMARQUES;303042010;9000000000;303042000
s p e c i a l    voir  remarques;303042011;9000000000;303042000
SPECIAL VOLEE 2012+2013;303042012;9000000000;303042000
Suisse allemand;303042013;9000000000;303042000
xxxx;303042014;9000000000;303042000
A. Jeu 9, 16 sept. P;303042201;9000000000;303042200
A. Me31.08, 07.09 L;303042202;9000000000;303042200
A.Jeudi10sept.17à18.30h.PP.;303042203;9000000000;303042200
A.lu.4,11sep17à18h.L;303042204;9000000000;303042200
A.Mar.11&18sep. 17à18h.L.;303042205;9000000000;303042200
A.Mardi23sept.17à18.30 h.Lu.;303042206;9000000000;303042200
B. Je 1, 8 sept. P;303042207;9000000000;303042200
B. Ma 14, 21 sept. L;303042208;9000000000;303042200
B.Jeudi25sept.17à18.30h.Lu.;303042209;9000000000;303042200
B.lu.4,11sep18à19h.L;303042210;9000000000;303042200
B.Mar.11&18sep17à18h.P.;303042211;9000000000;303042200
B.Mardi22sept.17à18.30h. PP;303042212;9000000000;303042200
C. Ma 13, 20 sept. P;303042213;9000000000;303042200
C. Ma 14, 21 sept. P;303042214;9000000000;303042200
C.Jeudi24sept.17à18.30h.PP;303042215;9000000000;303042200
C.Jeudi25sept.17à18.30h.PP;303042216;9000000000;303042200
C.Ma.5,12sep17à18h.P;303042217;9000000000;303042200
C.Ma5,12sep17à18h.P;303042218;9000000000;303042200
C.Mar.11&18sep18à19h.P.;303042219;9000000000;303042200
D. Ma 13, 20 sept. P;303042220;9000000000;303042200
D. Me 15, 22 sept. L;303042221;9000000000;303042200
D.Jeudi24sept.17à18.30h.Lu.;303042222;9000000000;303042200
D.Ma5,12sep18à19h.P;303042223;9000000000;303042200
D.Mardi30sept.17à18.30h. PP;303042224;9000000000;303042200
D.Merc.12&19sep17à18h.L.;303042225;9000000000;303042200
E. Je 15,22.09 L 16h30;303042226;9000000000;303042200
E. Je 16, 23 sept. L;303042227;9000000000;303042200
E.Jeu.13&20sep17à18h.P.;303042228;9000000000;303042200
E.Lundi28sept. Lu.;303042229;9000000000;303042200
E.Mer6,13sep17à18h.L;303042230;9000000000;303042200
E.Mercredi01oct.17à18.30h.Lu.;303042231;9000000000;303042200
F. Je 15,22.09 L 17h30;303042232;9000000000;303042200
F.Jeu.13&20sep17à18h.L.;303042233;9000000000;303042200
F.Jeu.13&20sep17à18h.Lu.;303042234;9000000000;303042200
F.Jeudi02oct.17à18.30h.PP;303042235;9000000000;303042200
F.Mer6,13sep18à19h.L;303042236;9000000000;303042200
G.Je7,14sep17à18h.L;303042237;9000000000;303042200
pas encore décidé(e) ! doit nous redire;303042238;9000000000;303042200
Batterie;303042301;9000000000;303042300
Clarinette;303042302;9000000000;303042300
Flûte;303042303;9000000000;303042300
Flûte traversière;303042304;9000000000;303042300
Guitare;303042305;9000000000;303042300
Harpe;303042306;9000000000;303042300
Musicien;303042307;9000000000;303042300
Percussion;303042308;9000000000;303042300
Piano;303042309;9000000000;303042300
Piano et clarinette;303042310;9000000000;303042300
Saxophone;303042311;9000000000;303042300
Tam-tam;303042312;9000000000;303042300
Trompette;303042313;9000000000;303042300
Violon;303042314;9000000000;303042300
Violoncelle;303042315;9000000000;303042300
J.-F. Ramelet;303042401;9000000000;303042400
J.-M. Spothelfer;303042402;9000000000;303042400
Participations;303042500;9000000000;
---;303042601;9000000000;303042600
Ma 11.2;303042602;9000000000;303042600
---;303042701;9000000000;303042700
Lu 17.2;303042702;9000000000;303042700
---;303042801;9000000000;303042800
Me 19.2;303042802;9000000000;303042800
J.-M. Spothelfer;303043101;9000000000;303043100
E. Pidoux;303043201;9000000000;303043200
J.-F. Ramelet;303043202;9000000000;303043200
E. Pidoux;303043301;9000000000;303043300
J.-F. Ramelet;303043302;9000000000;303043300
E. Pidoux;303043401;9000000000;303043400
J.-F. Ramelet;303043402;9000000000;303043400
J.-M. Spothelfer;303043403;9000000000;303043400
J.-F. Ramelet;303043501;9000000000;303043500
J.-M. Spothelfer;303043502;9000000000;303043500
Titre de liste;303043800;9000000000;
1. Camp à Sète;303043901;9000000000;303043900
"2. ""Bible"" en semaine";303043902;9000000000;303043900
Jeudi 17-18h.(8x);303043903;9000000000;303043900
Lundi 17à18h.(8x);303043904;9000000000;303043900
Mardi 16.30à18h.(6x);303043905;9000000000;303043900
Mercredi 17à18h.(8x);303043906;9000000000;303043900
 ;303044001;9000000000;303044000
Jeudi 17-18h.(8x);303044002;9000000000;303044000
Lundi 17à18h.(8x);303044003;9000000000;303044000
Mardi 16.30à18h.(6x);303044004;9000000000;303044000
Mercredi 17à18h.(8x);303044005;9000000000;303044000
Jeudi 17-18h.(8x);303044101;9000000000;303044100
Lundi 17à18h.(8x);303044102;9000000000;303044100
Mercredi 17à18h.(8x);303044103;9000000000;303044100
Jeudi 17-18h.(8x);303044201;9000000000;303044200
Mardi 16.30à18h.(6x);303044202;9000000000;303044200
1. Camp Cév.2011-avril;303044301;9000000000;303044300
1. Camp Cév.2012;303044302;9000000000;303044300
1. Camp Cévennes 2009;303044303;9000000000;303044300
1. Camp Cévennes 2010;303044304;9000000000;303044300
1. Etre protestant (CD rom);303044305;9000000000;303044300
1. Etre protestant (Cévennes);303044306;9000000000;303044300
1. La libé.-Cévennes08;303044307;9000000000;303044300
1. La libération (Cévennes);303044308;9000000000;303044300
1. La libération (Cévennes) 06;303044309;9000000000;303044300
1. La libération-Cévennes07;303044310;9000000000;303044300
2. Etre protestant (semaine);303044311;9000000000;303044300
2. Etre protestant A;303044312;9000000000;303044300
3. Etre protestant (CD rom);303044313;9000000000;303044300
3. Etre protestant (Cévennes);303044314;9000000000;303044300
3. Etre protestant B;303044315;9000000000;303044300
3. Protestant au monastère;303044316;9000000000;303044300
4. Confiance 1;303044317;9000000000;303044300
4. Confiance 1 - sept.07;303044318;9000000000;303044300
5. Confiance 2 - sept.06;303044319;9000000000;303044300
5. Rempl. du camp;303044320;9000000000;303044300
5. Week-end Confiance 2;303044321;9000000000;303044300
6. L'essentiel;303044322;9000000000;303044300
6. Remplacement du camp;303044323;9000000000;303044300
7. Vivre la liberté;303044324;9000000000;303044300
7. Vivre la liberté B;303044325;9000000000;303044300
A décidé d'arrêter;303044326;9000000000;303044300
Doit être modifier;303044327;9000000000;303044300
Pas inscrit(e);303044328;9000000000;303044300
---;303044401;9000000000;303044400
1. Camp Cév.2011-avril;303044402;9000000000;303044400
1. Etre protestant (CD rom);303044403;9000000000;303044400
1. Etre protestant (Cévennes);303044404;9000000000;303044400
1. Etre protestant (informatique);303044405;9000000000;303044400
1. La libé.-Cévennes08;303044406;9000000000;303044400
1. La libé.-Cévennes09;303044407;9000000000;303044400
1. La libération (Cévennes);303044408;9000000000;303044400
1. La libération-Cévennes07;303044409;9000000000;303044400
2. Etre protestant (semaine);303044410;9000000000;303044400
2. Etre protestant A;303044411;9000000000;303044400
2. Vivre la Conf. 1-annulé;303044412;9000000000;303044400
3. Etre protestant (CD rom);303044413;9000000000;303044400
3. Etre protestant B;303044414;9000000000;303044400
3. Protestant au monastère;303044415;9000000000;303044400
3. Vivre la Confiance 2;303044416;9000000000;303044400
3.Vivre la Conf.2- 8-10juin;303044417;9000000000;303044400
4. Confiance 1;303044418;9000000000;303044400
4. Confiance 1 - 05;303044419;9000000000;303044400
4. Confiance 1 - juillet06;303044420;9000000000;303044400
4. Le Noël de Balthasar;303044421;9000000000;303044400
4. Vivre la liberté;303044422;9000000000;303044400
5. Confiance 2;303044423;9000000000;303044400
5. Confiance 2 - sept.06;303044424;9000000000;303044400
5. Vivre la liberté;303044425;9000000000;303044400
6. Confiance 3 - juin07;303044426;9000000000;303044400
6. L'essentiel;303044427;9000000000;303044400
6. Vivre la liberté;303044428;9000000000;303044400
6. Vivre la liberté ;303044429;9000000000;303044400
7. Après le conflit;303044430;9000000000;303044400
7. Sur les traces de Jésus;303044431;9000000000;303044400
7. Vivre la liberté;303044432;9000000000;303044400
7. Vivre la liberté ;303044433;9000000000;303044400
8. Ce que je crois;303044434;9000000000;303044400
8. Le mal;303044435;9000000000;303044400
8. Ouvrier de paix;303044436;9000000000;303044400
9. Foi et art;303044437;9000000000;303044400
9. Ouvrier de paix;303044438;9000000000;303044400
1. Apprendre la confiance;303044501;9000000000;303044500
10. Ouvrier de paix 2;303044502;9000000000;303044500
2. Etre protestant (semaine);303044503;9000000000;303044500
2. Hey Max;303044504;9000000000;303044500
2. Vivre la Conf. 1-annulé;303044505;9000000000;303044500
2bis Confiance -1-3 juin;303044506;9000000000;303044500
3. Etre protestant B;303044507;9000000000;303044500
3. Vivre la Confiance 2;303044508;9000000000;303044500
3. Vivre la liberté;303044509;9000000000;303044500
3.Vivre la Conf.2- 8-10juin;303044510;9000000000;303044500
4. Confiance 1;303044511;9000000000;303044500
4. Confiance 1 - 05;303044512;9000000000;303044500
4. Confiance 1 - juillet06;303044513;9000000000;303044500
